"Part";"Value";"Device";"Package";"Description";"";
"C1";"100n";"C-KER_1206";"1206";"Kondenzator - keramicky";"";
"C2";"10uF";"C-KER_1206";"1206";"Kondenzator - keramicky";"";
"C3";"100nF";"C-KER_1206";"1206";"Kondenzator - keramicky";"";
"C4";"4,7nF";"C-KER_1206";"1206";"Kondenzator - keramicky";"";
"C5";"10nF";"C-KER_1206";"1206";"Kondenzator - keramicky";"";
"C6";"100M/16V_SMD";"100M/16V_SMD";"C_EL-SMD_D";"";"";
"D1";"1N4007.";"1N4007.";"SM-1";"Usmernovaci dioda - 1A, 1000V";"";
"D2";"1N4148.";"1N4148.";"SOD-80";"Univerzalni dioda - 0,15A, 75V";"";
"DZ1";"D-BZV55C_SMD_0,5W-ZENER";"D-BZV55C_SMD_0,5W-ZENER";"SOD-80";"Zenerova dioda";"";
"IO2";"555_SO8";"555_SO8";"SO08";"IO - Casovac 555";"";
"IO3";"78L12F_SOT89";"78_SOT";"SOT-89";"Stabilizator - 1A a 1,5A";"";
"K1";"ARK550/2";"ARK550/2";"ARK550/2";"Svorkovnice - roztec 3,5mm - dvojita";"";
"K2";"ARK550/2";"ARK550/2";"ARK550/2";"Svorkovnice - roztec 3,5mm - dvojita";"";
"K3";"ARK550/2";"ARK550/2";"ARK550/2";"Svorkovnice - roztec 3,5mm - dvojita";"";
"K4";"ARK550/2";"ARK550/2";"ARK550/2";"Svorkovnice - roztec 3,5mm - dvojita";"";
"K5";"ARK550/2";"ARK550/2";"ARK550/2";"Svorkovnice - roztec 3,5mm - dvojita";"";
"K6";"ARK550/2";"ARK550/2";"ARK550/2";"Svorkovnice - roztec 3,5mm - dvojita";"";
"K7";"ARK550/2";"ARK550/2";"ARK550/2";"Svorkovnice - roztec 3,5mm - dvojita";"";
"P1";"PC1621ML_1MOhm";"PC16ML";"PC16ML";"Potenciometr - plastovy - mono - 100R az 5M";"";
"Q1";"";"PMOSFET_NTO220BH";"TO220BH";"Power MOSFET N-Channel";"";
"R1";"1k";"R_1206";"1206";"Rezistor";"";
"R2";"100Ohm";"R_1206";"1206";"Rezistor";"";
"R3";"100k";"R_1206";"1206";"Rezistor";"";
